2026-04-06 00:01:02,841 | concert_ticketing.adapters.persistence.redis.connection | INFO | Cliente Redis creado -> localhost:6379/0
2026-04-06 00:01:02,863 | pika.adapters.utils.connection_workflow | INFO | Pika version 1.3.2 connecting to ('::1', 5672, 0, 0)
2026-04-06 00:01:02,866 | pika.adapters.utils.io_services_utils | INFO | Socket connected: <socket.socket fd=1204, family=23, type=1, proto=6, laddr=('::1', 57653, 0, 0), raddr=('::1', 5672, 0, 0)>
2026-04-06 00:01:02,866 | pika.adapters.utils.connection_workflow | INFO | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001F413507EC0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001F413507EC0> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2026-04-06 00:01:02,917 | pika.adapters.utils.connection_workflow | INFO | AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001F413507EC0> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 00:01:02,918 | pika.adapters.utils.connection_workflow | INFO | AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001F413507EC0> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 00:01:02,918 | pika.adapters.blocking_connection | INFO | Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x000001F413507EC0> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 00:01:02,918 | concert_ticketing.adapters.messaging.rabbitmq.connection | INFO | Conexion RabbitMQ establecida -> localhost:5672
2026-04-06 00:01:02,919 | __main__ | INFO | Conexión RabbitMQ establecida (intento 1/10)
2026-04-06 00:01:02,919 | pika.adapters.blocking_connection | INFO | Created channel=1
2026-04-06 00:01:02,925 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Cola 'purchase_requests' declarada.
2026-04-06 00:01:02,927 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Exchange 'purchase_results' declarado.
2026-04-06 00:01:02,928 | __main__ | INFO | Worker iniciado. Consumiendo peticiones de compra...
2026-04-06 00:01:02,929 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Consumiendo de 'purchase_requests'. Esperando mensajes...
2026-04-06 00:01:08,148 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00012
2026-04-06 00:01:08,217 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00042
2026-04-06 00:01:08,273 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00045
2026-04-06 00:01:08,324 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00025
2026-04-06 00:01:08,369 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00028
2026-04-06 00:01:08,420 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00020
2026-04-06 00:01:08,465 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00057
2026-04-06 00:01:08,512 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00063
2026-04-06 00:01:08,561 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00072
2026-04-06 00:01:08,606 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00079
2026-04-06 00:01:08,652 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00087
2026-04-06 00:01:08,697 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00095
2026-04-06 00:01:08,748 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00104
2026-04-06 00:01:08,796 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00112
2026-04-06 00:01:08,845 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00120
2026-04-06 00:01:08,892 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00127
2026-04-06 00:01:08,941 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00136
2026-04-06 00:01:08,988 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00143
2026-04-06 00:01:09,044 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00154
2026-04-06 00:01:09,100 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00163
2026-04-06 00:01:09,149 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00171
2026-04-06 00:01:09,194 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00179
2026-04-06 00:01:09,245 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00187
2026-04-06 00:01:09,292 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00194
2026-04-06 00:01:09,337 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00202
2026-04-06 00:01:09,380 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00210
2026-04-06 00:01:09,428 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00218
2026-04-06 00:01:09,480 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00228
2026-04-06 00:01:09,528 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00235
2026-04-06 00:01:09,576 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00243
2026-04-06 00:01:09,624 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00252
2026-04-06 00:01:09,667 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00260
2026-04-06 00:01:09,713 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00267
2026-04-06 00:01:09,761 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00276
2026-04-06 00:01:09,809 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00284
2026-04-06 00:01:09,865 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00293
2026-04-06 00:01:09,917 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00301
2026-04-06 00:01:09,965 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00309
2026-04-06 00:01:10,013 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00317
2026-04-06 00:01:10,056 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00325
2026-04-06 00:01:10,104 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00333
2026-04-06 00:01:10,152 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00341
2026-04-06 00:01:10,200 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00349
2026-04-06 00:01:10,252 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00357
2026-04-06 00:01:10,308 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00367
2026-04-06 00:01:10,361 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00375
2026-04-06 00:01:10,405 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00383
2026-04-06 00:01:10,453 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00391
2026-04-06 00:01:10,499 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00398
2026-04-06 00:01:10,548 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00406
2026-04-06 00:01:10,596 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00414
2026-04-06 00:01:10,648 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00424
2026-04-06 00:01:10,691 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00431
2026-04-06 00:01:10,741 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00438
2026-04-06 00:01:10,787 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00446
2026-04-06 00:01:10,845 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00457
2026-04-06 00:01:10,892 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00465
2026-04-06 00:01:10,940 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00472
2026-04-06 00:01:10,989 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00480
2026-04-06 00:01:11,037 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00488
2026-04-06 00:01:11,084 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00496
2026-04-06 00:01:11,132 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00505
2026-04-06 00:01:11,181 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00512
2026-04-06 00:01:11,233 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00521
2026-04-06 00:01:11,278 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00529
2026-04-06 00:01:11,329 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00537
2026-04-06 00:01:11,377 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00545
2026-04-06 00:01:11,425 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00552
2026-04-06 00:01:11,473 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00561
2026-04-06 00:01:11,525 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00570
2026-04-06 00:01:11,572 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00577
2026-04-06 00:01:11,621 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00584
2026-04-06 00:01:11,673 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00593
2026-04-06 00:01:11,721 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00600
2026-04-06 00:01:11,765 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00608
2026-04-06 00:01:11,808 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00616
2026-04-06 00:01:11,852 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00624
2026-04-06 00:01:11,897 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00632
2026-04-06 00:01:11,948 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00642
2026-04-06 00:01:11,997 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00650
2026-04-06 00:01:12,048 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00659
2026-04-06 00:01:12,096 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00666
2026-04-06 00:01:12,141 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00674
2026-04-06 00:01:12,191 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00682
2026-04-06 00:01:12,236 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00690
2026-04-06 00:01:12,280 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00697
2026-04-06 00:01:12,325 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00703
2026-04-06 00:01:12,376 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00713
2026-04-06 00:01:12,421 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00720
2026-04-06 00:01:12,471 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00728
2026-04-06 00:01:12,517 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00736
2026-04-06 00:01:12,576 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=00747
