2026-04-06 22:22:18,528 | concert_ticketing.adapters.persistence.redis.connection | INFO | Cliente Redis creado -> localhost:6379/0
2026-04-06 22:22:18,542 | pika.adapters.utils.connection_workflow | INFO | Pika version 1.3.2 connecting to ('::1', 5672, 0, 0)
2026-04-06 22:22:18,542 | pika.adapters.utils.io_services_utils | INFO | Socket connected: <socket.socket fd=1332, family=23, type=1, proto=6, laddr=('::1', 52349, 0, 0), raddr=('::1', 5672, 0, 0)>
2026-04-06 22:22:18,544 | pika.adapters.utils.connection_workflow | INFO | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000121FFBB6690>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000121FFBB6690> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2026-04-06 22:22:18,598 | pika.adapters.utils.connection_workflow | INFO | AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000121FFBB6690> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:18,598 | pika.adapters.utils.connection_workflow | INFO | AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000121FFBB6690> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:18,598 | pika.adapters.blocking_connection | INFO | Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000121FFBB6690> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:18,598 | concert_ticketing.adapters.messaging.rabbitmq.connection | INFO | Conexion RabbitMQ establecida -> localhost:5672
2026-04-06 22:22:18,599 | __main__ | INFO | Conexión RabbitMQ establecida (intento 1/10)
2026-04-06 22:22:18,599 | pika.adapters.blocking_connection | INFO | Created channel=1
2026-04-06 22:22:18,604 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Cola 'purchase_requests' declarada.
2026-04-06 22:22:18,605 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Exchange 'purchase_results' declarado.
2026-04-06 22:22:18,606 | __main__ | INFO | Worker iniciado. Consumiendo peticiones de compra...
2026-04-06 22:22:18,607 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Consumiendo de 'purchase_requests'. Esperando mensajes...
2026-04-06 22:22:23,199 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_020281
2026-04-06 22:22:23,265 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_cold_005359
2026-04-06 22:22:23,313 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_013081
2026-04-06 22:22:23,366 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_cold_000784
2026-04-06 22:22:23,414 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_002337
