2026-04-06 22:22:17,262 | concert_ticketing.adapters.persistence.redis.connection | INFO | Cliente Redis creado -> localhost:6379/0
2026-04-06 22:22:17,277 | pika.adapters.utils.connection_workflow | INFO | Pika version 1.3.2 connecting to ('::1', 5672, 0, 0)
2026-04-06 22:22:17,278 | pika.adapters.utils.io_services_utils | INFO | Socket connected: <socket.socket fd=1164, family=23, type=1, proto=6, laddr=('::1', 52346, 0, 0), raddr=('::1', 5672, 0, 0)>
2026-04-06 22:22:17,278 | pika.adapters.utils.connection_workflow | INFO | Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000207C9923530>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000207C9923530> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>).
2026-04-06 22:22:17,328 | pika.adapters.utils.connection_workflow | INFO | AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000207C9923530> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:17,328 | pika.adapters.utils.connection_workflow | INFO | AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000207C9923530> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:17,328 | pika.adapters.blocking_connection | INFO | Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x00000207C9923530> params=<ConnectionParameters host=localhost port=5672 virtual_host=/ ssl=False>>
2026-04-06 22:22:17,329 | concert_ticketing.adapters.messaging.rabbitmq.connection | INFO | Conexion RabbitMQ establecida -> localhost:5672
2026-04-06 22:22:17,329 | __main__ | INFO | Conexión RabbitMQ establecida (intento 1/10)
2026-04-06 22:22:17,329 | pika.adapters.blocking_connection | INFO | Created channel=1
2026-04-06 22:22:17,333 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Cola 'purchase_requests' declarada.
2026-04-06 22:22:17,335 | concert_ticketing.adapters.messaging.rabbitmq.queue_setup | INFO | Exchange 'purchase_results' declarado.
2026-04-06 22:22:17,335 | __main__ | INFO | Worker iniciado. Consumiendo peticiones de compra...
2026-04-06 22:22:17,337 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Consumiendo de 'purchase_requests'. Esperando mensajes...
2026-04-06 22:22:23,199 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_028377
2026-04-06 22:22:23,251 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_014553
2026-04-06 22:22:23,298 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_038614
2026-04-06 22:22:23,348 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_cold_003439
2026-04-06 22:22:23,396 | concert_ticketing.adapters.messaging.rabbitmq.consumer | INFO | Mensaje recibido: request_id=req_hot_006388
